StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,participant,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,,session,date,expName,psychopyVersion,frameRate
,,,,128,0,128,0,,,,,,,,,,,,,883.2539762,None,,,,,,,,,,,,,,,,,,,,,,narrow,C_sing,128,197,881.7559498,None,881.7559498,None,881.7559498,sing17a,1,0.698234123,881.7559498,None,882.4936223,None,882.4936223,None,883.0207613,None,883.0207613,None,883.0207613,None,n,0.193741992,883.0207613,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,129,0,129,0,,,,,,,,,,,,,885.6880391,None,,,,,,,,,,,,,,,,,,,,,,position,A_silent,129,229,883.7720825,None,883.7720825,None,883.7720825,sing17a,2,0.93014866,883.7720825,None,884.7544691,None,884.7544691,None,885.2713103,None,885.2713103,None,885.2713103,None,n,0.37555483,885.2713103,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,130,0,130,0,,,,,,,,,,,,,887.7721755,None,,,,,,,,,,,,,,,,,,,,,,alert,D_new,130,6,886.2049431,None,886.2049431,None,886.2049431,sing17a,1,0.913026062,886.2049431,None,887.1597428,None,887.1597428,None,887.6887457,None,887.6887457,None,887.6887457,None,n,0.045494495,887.6887457,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,131,0,131,0,,,,,,,,,,,,,889.5559675,None,,,,,,,,,,,,,,,,,,,,,,dozen,D_new,131,102,888.2928892,None,888.2928892,None,888.2928892,sing17a,1,0.5698078,888.2928892,None,888.9224821,None,888.9224821,None,889.4422414,None,889.4422414,None,889.4422414,None,n,0.075574112,889.4422414,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,132,0,132,0,,,,,,,,,,,,,892.5569279,None,,,,,,,,,,,,,,,,,,,,,,danger,B_aloud,132,85,890.0734677,None,890.0734677,None,890.0734677,sing17a,2,1.748301611,890.0734677,None,891.873357,None,891.873357,None,892.3902986,None,892.3902986,None,892.3902986,None,f,0.11928096,892.3902986,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,133,0,133,0,,,,,,,,,,,,,894.4741398,None,,,,,,,,,,,,,,,,,,,,,,bucket,C_sing,133,33,893.074768,None,893.074768,None,893.074768,sing17a,1,0.770947627,893.074768,None,893.9073978,None,893.9073978,None,894.4242527,None,894.4242527,None,894.4242527,None,n,0.005412701,894.4242527,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,134,0,134,0,,,,,,,,,,,,,896.5582124,None,,,,,,,,,,,,,,,,,,,,,,research,D_new,134,261,894.9916903,None,894.9916903,None,894.9916903,sing17a,1,0.8617637,894.9916903,None,895.9080833,None,895.9080833,None,896.424712,None,896.424712,None,896.424712,None,n,0.093220128,896.424712,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,135,0,135,0,,,,,,,,,,,,,899.5258354,None,,,,,,,,,,,,,,,,,,,,,,trash,B_aloud,135,337,897.0750277,None,897.0750277,None,897.0750277,sing17a,6,1.459066057,897.0750277,None,898.5922119,None,898.5922119,None,899.1089494,None,899.1089494,None,899.1089494,None,r,0.368291659,899.1089494,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,136,0,136,0,,,,,,,,,,,,,903.0102426,None,,,,,,,,,,,,,,,,,,,,,,suspect,A_silent,136,318,900.0437575,None,900.0437575,None,900.0437575,sing17a,3,2.009800958,900.0437575,None,902.097409,None,902.097409,None,902.6266471,None,902.6266471,None,902.6266471,None,f,0.346426572,902.6266471,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,137,0,137,0,,,,,,,,,,,,,905.8277626,None,,,,,,,,,,,,,,,,,,,,,,election,D_new,137,109,903.5297036,None,903.5297036,None,903.5297036,sing17a,1,1.587904771,903.5297036,None,905.1774479,None,905.1774479,None,905.6942452,None,905.6942452,None,905.6942452,None,n,0.0946806,905.6942452,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,138,0,138,0,,,,,,,,,,,,,908.5118579,None,,,,,,,,,,,,,,,,,,,,,,novel,C_sing,138,202,906.3447677,None,906.3447677,None,906.3447677,sing17a,1,1.364127947,906.3447677,None,907.7618029,None,907.7618029,None,908.278529,None,908.278529,None,908.278529,None,n,0.190910307,908.278529,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,139,0,139,0,,,,,,,,,,,,,911.7129163,None,,,,,,,,,,,,,,,,,,,,,,charter,D_new,139,47,909.0306988,None,909.0306988,None,909.0306988,sing17a,1,1.862006593,909.0306988,None,910.9460459,None,910.9460459,None,911.4628634,None,911.4628634,None,911.4628634,None,n,0.206494371,911.4628634,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,140,0,140,0,,,,,,,,,,,,,913.9469761,None,,,,,,,,,,,,,,,,,,,,,,angle,A_silent,140,7,912.2297384,None,912.2297384,None,912.2297384,sing17a,1,1.054896436,912.2297384,None,913.3467385,None,913.3467385,None,913.8636129,None,913.8636129,None,913.8636129,None,n,0.036717982,913.8636129,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,141,0,141,0,,,,,,,,,,,,,917.48136,None,,,,,,,,,,,,,,,,,,,,,,stranger,B_aloud,141,309,914.4637124,None,914.4637124,None,914.4637124,sing17a,1,1.988487591,914.4637124,None,916.5144467,None,916.5144467,None,917.0312425,None,917.0312425,None,917.0312425,None,n,0.404905766,917.0312425,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,142,0,142,0,,,,,,,,,,,,,920.3722025,None,,,,,,,,,,,,,,,,,,,,,,religion,D_new,142,258,917.9983884,None,917.9983884,None,917.9983884,sing17a,3,1.677980656,917.9983884,None,919.7077592,None,919.7077592,None,920.2180513,None,920.2180513,None,920.2180513,None,f,0.130326864,920.2180513,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,143,0,143,0,,,,,,,,,,,,,923.3165466,None,,,,,,,,,,,,,,,,,,,,,,council,A_silent,143,71,920.8989211,None,920.8989211,None,920.8989211,sing17a,6,1.385011196,920.8989211,None,922.3495845,None,922.3495845,None,922.8663725,None,922.8663725,None,922.8663725,None,r,0.409780121,922.8663725,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,144,0,144,0,,,,,,,,,,,,,926.2507648,None,,,,,,,,,,,,,,,,,,,,,,individual,B_aloud,144,160,923.8358643,None,923.8358643,None,923.8358643,sing17a,6,1.632022454,923.8358643,None,925.5170806,None,925.5170806,None,926.033927,None,926.033927,None,926.033927,None,r,0.178191516,926.033927,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,145,0,145,0,,,,,,,,,,,,,928.8032463,None,,,,,,,,,,,,,,,,,,,,,,capital,C_sing,145,40,926.767562,None,926.767562,None,926.767562,sing17a,6,1.348134291,926.767562,None,928.1679464,None,928.1679464,None,928.6717705,None,928.6717705,None,928.6717705,None,r,0.099874666,928.6717705,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,146,0,146,0,,,,,,,,,,,,,931.235603,None,,,,,,,,,,,,,,,,,,,,,,speech,D_new,146,298,929.3212285,None,929.3212285,None,929.3212285,sing17a,2,1.106442122,929.3212285,None,930.4724939,None,930.4724939,None,930.9854503,None,930.9854503,None,930.9854503,None,f,0.210191267,930.9854503,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,147,0,147,0,,,,,,,,,,,,,935.3702588,None,,,,,,,,,,,,,,,,,,,,,,graduate,D_new,147,141,931.7538785,None,931.7538785,None,931.7538785,sing17a,6,2.113517447,931.7538785,None,933.9198342,None,933.9198342,None,934.4366738,None,934.4366738,None,934.4366738,None,r,0.894881197,934.4366738,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,148,0,148,0,,,,,,,,,,,,,938.0377549,None,,,,,,,,,,,,,,,,,,,,,,story,D_new,148,306,935.8780634,None,935.8780634,None,935.8780634,sing17a,1,1.005045095,935.8780634,None,936.9255797,None,936.9255797,None,937.4540334,None,937.4540334,None,937.4540334,None,n,0.549576102,937.4540334,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,149,0,149,0,,,,,,,,,,,,,940.3383427,None,,,,,,,,,,,,,,,,,,,,,,sound,D_new,149,295,938.5549655,None,938.5549655,None,938.5549655,sing17a,1,1.072389749,938.5549655,None,939.6882064,None,939.6882064,None,940.2051188,None,940.2051188,None,940.2051188,None,n,0.085695403,940.2051188,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,150,0,150,0,,,,,,,,,,,,,942.8726078,None,,,,,,,,,,,,,,,,,,,,,,mayor,D_new,150,183,940.8559243,None,940.8559243,None,940.8559243,sing17a,1,1.29163992,940.8559243,None,942.2057337,None,942.2057337,None,942.7225493,None,942.7225493,None,942.7225493,None,n,0.104111153,942.7225493,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,151,0,151,0,,,,,,,,,,,,,947.1906102,None,,,,,,,,,,,,,,,,,,,,,,collection,C_sing,151,54,943.3918822,None,943.3918822,None,943.3918822,sing17a,1,1.94724109,943.3918822,None,945.3903797,None,945.3903797,None,945.9070346,None,945.9070346,None,945.9070346,None,n,1.240234185,945.9070346,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,152,0,152,0,,,,,,,,,,,,,950.1915242,None,,,,,,,,,,,,,,,,,,,,,,length,D_new,152,169,947.7088785,None,947.7088785,None,947.7088785,sing17a,4,1.837448218,947.7088785,None,949.607878,None,949.607878,None,950.1248,None,950.1248,None,950.1248,None,f,0.021447409,950.1248,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,153,0,153,0,,,,,,,,,,,,,952.4587501,None,,,,,,,,,,,,,,,,,,,,,,drove,D_new,153,106,950.7088499,None,950.7088499,None,950.7088499,sing17a,1,1.013493189,950.7088499,None,951.7752625,None,951.7752625,None,952.2921518,None,952.2921518,None,952.2921518,None,n,0.126434036,952.2921518,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,154,0,154,0,,,,,,,,,,,,,955.5931965,None,,,,,,,,,,,,,,,,,,,,,,object,B_aloud,154,204,952.9810515,None,952.9810515,None,952.9810515,sing17a,5,1.709123593,952.9810515,None,954.7428569,None,954.7428569,None,955.2634951,None,955.2634951,None,955.2634951,None,f,0.282429558,955.2634951,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,155,0,155,0,,,,,,,,,,,,,957.6938452,None,,,,,,,,,,,,,,,,,,,,,,break,D_new,155,26,956.1101082,None,956.1101082,None,956.1101082,sing17a,1,0.883943211,956.1101082,None,957.0436963,None,957.0436963,None,957.5603384,None,957.5603384,None,957.5603384,None,n,0.090360764,957.5603384,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,156,0,156,0,,,,,,,,,,,,,960.0777813,None,,,,,,,,,,,,,,,,,,,,,,mechanical,B_aloud,156,185,958.2131697,None,958.2131697,None,958.2131697,sing17a,1,1.148619145,958.2131697,None,959.4110319,None,959.4110319,None,959.9284238,None,959.9284238,None,959.9284238,None,n,0.113454314,959.9284238,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,157,0,157,0,,,,,,,,,,,,,963.6957302,None,,,,,,,,,,,,,,,,,,,,,,beginning,D_new,157,19,960.5971139,None,960.5971139,None,960.5971139,sing17a,3,2.428474218,960.5971139,None,963.0787526,None,963.0787526,None,963.5961296,None,963.5961296,None,963.5961296,None,f,0.053306276,963.5961296,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,158,0,158,0,,,,,,,,,,,,,965.7461678,None,,,,,,,,,,,,,,,,,,,,,,empty,A_silent,158,112,964.2129474,None,964.2129474,None,964.2129474,sing17a,1,0.844880264,964.2129474,None,965.1128292,None,965.1128292,None,965.6295015,None,965.6295015,None,965.6295015,None,n,0.084257946,965.6295015,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,159,0,159,0,,,,,,,,,,,,,972.5650062,None,,,,,,,,,,,,,,,,,,,,,,threat,D_new,159,329,966.262971,None,966.262971,None,966.262971,sing17a,1,3.65088045,966.262971,None,969.9535454,None,969.9535454,None,970.4809868,None,970.4809868,None,970.4809868,None,n,2.040615787,970.4809868,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,160,0,160,0,,,,,,,,,,,,,975.2492272,None,,,,,,,,,,,,,,,,,,,,,,poetry,D_new,160,225,973.0829813,None,973.0829813,None,973.0829813,sing17a,1,1.158571562,973.0829813,None,974.2988938,None,974.2988938,None,974.8159122,None,974.8159122,None,974.8159122,None,n,0.384935622,974.8159122,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,161,0,161,0,,,,,,,,,,,,,977.6166959,None,,,,,,,,,,,,,,,,,,,,,,thing,D_new,161,328,975.7660901,None,975.7660901,None,975.7660901,sing17a,1,1.067146234,975.7660901,None,976.883199,None,976.883199,None,977.3999673,None,977.3999673,None,977.3999673,None,n,0.177083411,977.3999673,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,162,0,162,0,,,,,,,,,,,,,980.3342017,None,,,,,,,,,,,,,,,,,,,,,,watch,C_sing,162,351,978.1349347,None,978.1349347,None,978.1349347,sing17a,1,1.145631337,978.1349347,None,979.3337728,None,979.3337728,None,979.8505872,None,979.8505872,None,979.8505872,None,n,0.445959134,979.8505872,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,163,0,163,0,,,,,,,,,,,,,982.5849188,None,,,,,,,,,,,,,,,,,,,,,,level,D_new,163,170,980.8510198,None,980.8510198,None,980.8510198,sing17a,1,1.077834795,980.8510198,None,981.984735,None,981.984735,None,982.5015734,None,982.5015734,None,982.5015734,None,n,0.03488213,982.5015734,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,164,0,164,0,,,,,,,,,,,,,984.8854413,None,,,,,,,,,,,,,,,,,,,,,,fashion,D_new,164,125,983.0879651,None,983.0879651,None,983.0879651,sing17a,1,1.073177521,983.0879651,None,984.207915,None,984.207915,None,984.7353483,None,984.7353483,None,984.7353483,None,n,0.113031349,984.7353483,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,165,0,165,0,,,,,,,,,,,,,987.4364194,None,,,,,,,,,,,,,,,,,,,,,,impact,D_new,165,157,985.4039068,None,985.4039068,None,985.4039068,sing17a,2,1.308664863,985.4039068,None,986.7695369,None,986.7695369,None,987.286217,None,987.286217,None,987.286217,None,f,0.106618461,987.286217,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,166,0,166,0,,,,,,,,,,,,,989.4202078,None,,,,,,,,,,,,,,,,,,,,,,salary,D_new,166,271,987.9548299,None,987.9548299,None,987.9548299,sing17a,1,0.821956522,987.9548299,None,988.8257343,None,988.8257343,None,989.3534655,None,989.3534655,None,989.3534655,None,n,0.030723705,989.3534655,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,167,0,167,0,,,,,,,,,,,,,991.4710198,None,,,,,,,,,,,,,,,,,,,,,,number,C_sing,167,203,989.9387921,None,989.9387921,None,989.9387921,sing17a,1,0.805983392,989.9387921,None,990.8040415,None,990.8040415,None,991.3209439,None,991.3209439,None,991.3209439,None,n,0.111353486,991.3209439,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,168,0,168,0,,,,,,,,,,,,,993.6549269,None,,,,,,,,,,,,,,,,,,,,,,vision,B_aloud,168,347,991.9888714,None,991.9888714,None,991.9888714,sing17a,1,0.882913168,991.9888714,None,992.921444,None,992.921444,None,993.4380957,None,993.4380957,None,993.4380957,None,n,0.169633638,993.4380957,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,169,0,169,0,,,,,,,,,,,,,996.34455,None,,,,,,,,,,,,,,,,,,,,,,expansion,D_new,169,123,994.1717556,None,994.1717556,None,994.1717556,sing17a,3,1.563844623,994.1717556,None,995.7890788,None,995.7890788,None,996.2915964,None,996.2915964,None,996.2915964,None,f,0.020122224,996.2915964,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,170,0,170,0,,,,,,,,,,,,,998.4564608,None,,,,,,,,,,,,,,,,,,,,,,question,A_silent,170,247,996.8764079,None,996.8764079,None,996.8764079,sing17a,1,0.891524849,996.8764079,None,997.8228332,None,997.8228332,None,998.3436857,None,998.3436857,None,998.3436857,None,n,0.072152143,998.3436857,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,171,0,171,0,,,,,,,,,,,,,1000.673932,None,,,,,,,,,,,,,,,,,,,,,,staff,D_new,171,301,998.9739205,None,998.9739205,None,998.9739205,sing17a,1,1.025868943,998.9739205,None,1000.045099,None,1000.045099,None,1000.57365,None,1000.57365,None,1000.57365,None,n,0.058567519,1000.57365,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,172,0,172,0,,,,,,,,,,,,,1003.757983,None,,,,,,,,,,,,,,,,,,,,,,write,B_aloud,172,358,1001.19083,None,1001.19083,None,1001.19083,sing17a,6,1.233003981,1001.19083,None,1002.474275,None,1002.474275,None,1002.991181,None,1002.991181,None,1002.991181,None,r,0.728401132,1002.991181,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,173,0,173,0,,,,,,,,,,,,,1006.692199,None,,,,,,,,,,,,,,,,,,,,,,pretty,B_aloud,173,233,1004.275798,None,1004.275798,None,1004.275798,sing17a,6,1.283223549,1004.275798,None,1005.62524,None,1005.62524,None,1006.142131,None,1006.142131,None,1006.142131,None,r,0.512911613,1006.142131,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,174,0,174,0,,,,,,,,,,,,,1009.126282,None,,,,,,,,,,,,,,,,,,,,,,commercial,B_aloud,174,61,1007.209469,None,1007.209469,None,1007.209469,sing17a,6,1.197571375,1007.209469,None,1008.447892,None,1008.447892,None,1008.977278,None,1008.977278,None,1008.977278,None,r,0.101570878,1008.977278,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,175,0,175,0,,,,,,,,,,,,,1012.012238,None,,,,,,,,,,,,,,,,,,,,,,literature,B_aloud,175,173,1009.645855,None,1009.645855,None,1009.645855,sing17a,6,1.392977857,1009.645855,None,1011.082649,None,1011.082649,None,1011.611425,None,1011.611425,None,1011.611425,None,r,0.379405051,1011.611425,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,176,0,176,0,,,,,,,,,,,,,1014.327951,None,,,,,,,,,,,,,,,,,,,,,,quantity,D_new,176,245,1012.547802,None,1012.547802,None,1012.547802,sing17a,1,1.075221123,1012.547802,None,1013.667756,None,1013.667756,None,1014.197225,None,1014.197225,None,1014.197225,None,n,0.097676183,1014.197225,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,177,0,177,0,,,,,,,,,,,,,1016.478614,None,,,,,,,,,,,,,,,,,,,,,,error,C_sing,177,117,1014.844972,None,1014.844972,None,1014.844972,sing17a,1,0.945506935,1014.844972,None,1015.845036,None,1015.845036,None,1016.36603,None,1016.36603,None,1016.36603,None,n,0.072832929,1016.36603,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,178,0,178,0,,,,,,,,,,,,,1019.979674,None,,,,,,,,,,,,,,,,,,,,,,weight,D_new,178,353,1016.996905,None,1016.996905,None,1016.996905,sing17a,1,2.025811408,1016.996905,None,1019.079541,None,1019.079541,None,1019.596222,None,1019.596222,None,1019.596222,None,n,0.338166325,1019.596222,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,179,0,179,0,,,,,,,,,,,,,1022.780687,None,,,,,,,,,,,,,,,,,,,,,,guard,D_new,179,145,1020.496538,None,1020.496538,None,1020.496538,sing17a,1,1.22970548,1020.496538,None,1021.780345,None,1021.780345,None,1022.297052,None,1022.297052,None,1022.297052,None,n,0.436984512,1022.297052,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
